raceId,year,round,circuitId,name,driverRef,constructorRef,grid,quali_position,driver_champ_points,driver_champ_pos,constructor_champ_points,constructor_champ_pos,positionOrder,points,status,won_race,podium,dnf
337,2010,1,3,Bahrain Grand Prix,alonso,ferrari,3,3.0,25.0,1.0,43.0,1.0,1,25.0,Finished,1,1,0
337,2010,1,3,Bahrain Grand Prix,massa,ferrari,2,2.0,18.0,2.0,43.0,1.0,2,18.0,Finished,0,1,0
337,2010,1,3,Bahrain Grand Prix,hamilton,mclaren,4,4.0,15.0,3.0,21.0,2.0,3,15.0,Finished,0,1,0
337,2010,1,3,Bahrain Grand Prix,vettel,red_bull,1,1.0,12.0,4.0,16.0,4.0,4,12.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,rosberg,mercedes,5,5.0,10.0,5.0,18.0,3.0,5,10.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,michael_schumacher,mercedes,7,7.0,8.0,6.0,18.0,3.0,6,8.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,button,mclaren,8,8.0,6.0,7.0,21.0,2.0,7,6.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,webber,red_bull,6,6.0,4.0,8.0,16.0,4.0,8,4.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,liuzzi,force_india,12,12.0,2.0,9.0,2.0,5.0,9,2.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,barrichello,williams,11,11.0,1.0,10.0,1.0,6.0,10,1.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,kubica,renault,9,9.0,0.0,11.0,0.0,7.0,11,0.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,sutil,force_india,10,10.0,0.0,12.0,2.0,5.0,12,0.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,alguersuari,toro_rosso,18,18.0,0.0,13.0,0.0,8.0,13,0.0,Finished,0,0,0
337,2010,1,3,Bahrain Grand Prix,hulkenberg,williams,13,13.0,0.0,14.0,1.0,6.0,14,0.0,+1 Lap,0,0,0
337,2010,1,3,Bahrain Grand Prix,kovalainen,lotus_racing,21,21.0,0.0,15.0,0.0,9.0,15,0.0,+2 Laps,0,0,0
337,2010,1,3,Bahrain Grand Prix,buemi,toro_rosso,15,15.0,0.0,16.0,0.0,8.0,16,0.0,Electrical,0,0,1
337,2010,1,3,Bahrain Grand Prix,trulli,lotus_racing,20,20.0,0.0,17.0,0.0,9.0,17,0.0,Hydraulics,0,0,1
337,2010,1,3,Bahrain Grand Prix,rosa,sauber,14,14.0,0.0,18.0,0.0,10.0,18,0.0,Hydraulics,0,0,1
337,2010,1,3,Bahrain Grand Prix,bruno_senna,hrt,23,23.0,0.0,19.0,0.0,11.0,19,0.0,Overheating,0,0,1
337,2010,1,3,Bahrain Grand Prix,glock,virgin,19,19.0,0.0,20.0,0.0,12.0,20,0.0,Gearbox,0,0,1
337,2010,1,3,Bahrain Grand Prix,petrov,renault,17,17.0,0.0,21.0,0.0,7.0,21,0.0,Suspension,0,0,1
